quarter,start date,end date,portfolio type,start value,end value,log return,portfolio range
1,12/2008,03/2009,unweighted,104516.10996000003,93875.58000999998,-0.10737093321923474,100+
1,12/2008,03/2009,unweighted,6627.204999999998,5770.640000000002,-0.13840015377208736,60-100
1,12/2008,03/2009,unweighted,22633.987999999958,19584.47460000001,-0.14471553026286266,30-60
1,12/2008,03/2009,unweighted,23008.300400000015,20240.207600000045,-0.128183936497976,15-30
1,12/2008,03/2009,unweighted,17657.98369999999,15912.858200000017,-0.10406054114957897,5-15
1,12/2008,03/2009,unweighted,3925.827700000001,3620.4324,-0.08098374176521261,0-5
2,03/2009,06/2009,unweighted,94414.05000999998,98518.75999999998,0.04255708996788954,100+
2,03/2009,06/2009,unweighted,4088.8250000000007,4645.429900000002,0.12762627639686386,60-100
2,03/2009,06/2009,unweighted,17632.509000000005,19628.975000000006,0.10726249040797953,30-60
2,03/2009,06/2009,unweighted,21514.580000000024,25325.442200000016,0.1630786661534298,15-30
2,03/2009,06/2009,unweighted,17643.41620000001,21964.391499999998,0.21905987991980247,5-15
2,03/2009,06/2009,unweighted,4280.845099999998,6422.231500000003,0.40561519960434467,0-5
3,06/2009,09/2009,unweighted,99786.58999999998,112060.125,0.11600175205871466,100+
3,06/2009,09/2009,unweighted,6456.559899999998,7195.089899999996,0.10830218231546951,60-100
3,06/2009,09/2009,unweighted,24211.153400000014,27060.77900000001,0.11127199892145079,30-60
3,06/2009,09/2009,unweighted,24678.896799999995,28684.505100000006,0.15040858710932525,15-30
3,06/2009,09/2009,unweighted,18584.636999999973,21771.227399999963,0.15825398231914356,5-15
3,06/2009,09/2009,unweighted,3516.375799999994,4715.124650000002,0.29334449570671595,0-5
4,09/2009,12/2009,unweighted,112761.97501,110738.13699000001,-0.01811089328392157,100+
4,09/2009,12/2009,unweighted,10163.739899999997,10504.229000000005,0.03295146316972897,60-100
4,09/2009,12/2009,unweighted,31456.959000000028,32804.570100000026,0.04194760747178705,30-60
4,09/2009,12/2009,unweighted,27136.71549999997,27901.3334,0.027786853350624696,15-30
4,09/2009,12/2009,unweighted,17959.86590000001,18290.71760000001,0.018254099933770362,5-15
4,09/2009,12/2009,unweighted,3119.609150000002,3038.1677000000022,-0.026453118098178408,0-5
5,12/2009,03/2010,unweighted,112645.94700000001,132402.11192999998,0.16159390697268883,100+
5,12/2009,03/2010,unweighted,12429.839000000009,12548.211000000005,0.009478152711263732,60-100
5,12/2009,03/2010,unweighted,34085.304400000045,35321.08110000005,0.03561364859808336,30-60
